{'pic value': 0.02821143259943327, 'ts': '20171130_100044_740', 'ring_rad': 99.99977963260945, 'Vout': 0.528238}
{'pic value': 0.028286408576591735, 'ts': '20171130_100044_747', 'ring_rad': 99.96888003277272, 'Vout': 0.528313}
{'pic value': 0.028243343613033246, 'ts': '20171130_100044_756', 'ring_rad': 99.96125759221334, 'Vout': 0.528271}
{'pic value': 0.02827813813196986, 'ts': '20171130_100044_763', 'ring_rad': 99.93792800529499, 'Vout': 0.528305}
{'pic value': 0.028316276423511595, 'ts': '20171130_100044_772', 'ring_rad': 99.91401477826729, 'Vout': 0.528343}
{'pic value': 0.02836598362912597, 'ts': '20171130_100044_779', 'ring_rad': 99.88810039459958, 'Vout': 0.528392}
{'pic value': 0.028336672508894125, 'ts': '20171130_100044_789', 'ring_rad': 99.87840905242824, 'Vout': 0.528362}
{'pic value': 0.028388065339902745, 'ts': '20171130_100044_796', 'ring_rad': 99.8531813763918, 'Vout': 0.528413}
{'pic value': 0.028170924799020752, 'ts': '20171130_100044_803', 'ring_rad': 99.88208387054252, 'Vout': 0.528195}
{'pic value': 0.0282003881586435, 'ts': '20171130_100044_812', 'ring_rad': 99.86216798603087, 'Vout': 0.528223}
{'pic value': 0.028228486404700586, 'ts': '20171130_100044_819', 'ring_rad': 99.84318262089496, 'Vout': 0.52825}
{'pic value': 0.02850004161934546, 'ts': '20171130_100044_828', 'ring_rad': 99.77665033699087, 'Vout': 0.52852}
{'pic value': 0.028479417465001315, 'ts': '20171130_100044_835', 'ring_rad': 99.76982455542988, 'Vout': 0.528497}
{'pic value': 0.028566379402561945, 'ts': '20171130_100044_844', 'ring_rad': 99.74291176775411, 'Vout': 0.528581}
{'pic value': 0.0285727363004334, 'ts': '20171130_100044_851', 'ring_rad': 99.73361316314372, 'Vout': 0.528585}
{'pic value': 0.028634616987694716, 'ts': '20171130_100044_859', 'ring_rad': 99.71480021564294, 'Vout': 0.528644}
{'pic value': 0.02865690160370493, 'ts': '20171130_100044_871', 'ring_rad': 99.70553874323366, 'Vout': 0.528664}
{'pic value': 0.028629206833896487, 'ts': '20171130_100044_878', 'ring_rad': 99.7078459672825, 'Vout': 0.528634}
{'pic value': 0.028710959576913435, 'ts': '20171130_100044_885', 'ring_rad': 99.68990311594493, 'Vout': 0.528713}
{'pic value': 0.028795165887005578, 'ts': '20171130_100044_894', 'ring_rad': 99.67319952907374, 'Vout': 0.528794}
{'pic value': 0.028878105025883623, 'ts': '20171130_100044_903', 'ring_rad': 99.6585493368161, 'Vout': 0.528874}
{'pic value': 0.02906627648870272, 'ts': '20171130_100044_915', 'ring_rad': 99.62485198656788, 'Vout': 0.529059}
{'pic value': 0.029044114529846576, 'ts': '20171130_100044_924', 'ring_rad': 99.6351317450135, 'Vout': 0.529033}
{'pic value': 0.029221719347660987, 'ts': '20171130_100044_931', 'ring_rad': 99.60747599563622, 'Vout': 0.529207}
{'pic value': 0.02920930876635336, 'ts': '20171130_100044_940', 'ring_rad': 99.61972604303998, 'Vout': 0.529192}
{'pic value': 0.02909282554526698, 'ts': '20171130_100044_947', 'ring_rad': 99.65435212855314, 'Vout': 0.529073}
{'pic value': 0.02920342058870085, 'ts': '20171130_100044_957', 'ring_rad': 99.64506920452675, 'Vout': 0.529181}
{'pic value': 0.029200131177766302, 'ts': '20171130_100044_964', 'ring_rad': 99.65992158451077, 'Vout': 0.529176}
{'pic value': 0.029421174918400808, 'ts': '20171130_100044_973', 'ring_rad': 99.63138992832978, 'Vout': 0.529394}
{'pic value': 0.029534061801309304, 'ts': '20171130_100044_980', 'ring_rad': 99.6260025936427, 'Vout': 0.529505}
{'pic value': 0.02965640690783313, 'ts': '20171130_100044_990', 'ring_rad': 99.62022752426857, 'Vout': 0.529624}
{'pic value': 0.029426796583997664, 'ts': '20171130_100044_999', 'ring_rad': 99.68582959074804, 'Vout': 0.529394}
{'pic value': 0.029399156462689223, 'ts': '20171130_100045_006', 'ring_rad': 99.7116829253286, 'Vout': 0.529365}
{'pic value': 0.029341611924452834, 'ts': '20171130_100045_015', 'ring_rad': 99.74385893726391, 'Vout': 0.529307}
{'pic value': 0.029376210007660875, 'ts': '20171130_100045_023', 'ring_rad': 99.75777506830306, 'Vout': 0.529341}
{'pic value': 0.02945601327009841, 'ts': '20171130_100045_030', 'ring_rad': 99.76274797152895, 'Vout': 0.529421}
{'pic value': 0.02956781444089426, 'ts': '20171130_100045_039', 'ring_rad': 99.76141162757679, 'Vout': 0.529533}
{'pic value': 0.029576211195801, 'ts': '20171130_100045_049', 'ring_rad': 99.78070313521899, 'Vout': 0.529541}
{'pic value': 0.029486149911413403, 'ts': '20171130_100045_058', 'ring_rad': 99.8193209298841, 'Vout': 0.529452}
{'pic value': 0.02953651805486328, 'ts': '20171130_100045_065', 'ring_rad': 99.82935688407788, 'Vout': 0.529503}
{'pic value': 0.02952171682490065, 'ts': '20171130_100045_073', 'ring_rad': 99.85176700211363, 'Vout': 0.52949}
{'pic value': 0.02949851600627638, 'ts': '20171130_100045_082', 'ring_rad': 99.87501204709191, 'Vout': 0.529468}
{'pic value': 0.029524437126514813, 'ts': '20171130_100045_092', 'ring_rad': 99.88748489462962, 'Vout': 0.529496}
{'pic value': 0.02939775001127004, 'ts': '20171130_100045_101', 'ring_rad': 99.92924267634493, 'Vout': 0.529371}
