{'ts': '20201217_161020_540', 'ring_rad': -2.347569457472311, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161020_548', 'ring_rad': -2.4212811189777215, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161020_555', 'ring_rad': -2.288427930340224, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161020_561', 'ring_rad': -2.346768947417692, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161020_569', 'ring_rad': -2.4429853383846893, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161020_582', 'ring_rad': -2.273302933187434, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161020_596', 'ring_rad': -2.354750078568279, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161020_602', 'ring_rad': -2.3114271712406445, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161020_608', 'ring_rad': -2.4975938267104105, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161020_616', 'ring_rad': -2.2646439538841734, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161020_623', 'ring_rad': -2.3976513298683164, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161020_629', 'ring_rad': -2.4116331918216507, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161020_637', 'ring_rad': -2.393893948304068, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161020_646', 'ring_rad': -2.277537885453907, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161020_653', 'ring_rad': -2.3919817526513367, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161020_661', 'ring_rad': -2.464809558143527, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161020_668', 'ring_rad': -2.3201859613890305, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161020_677', 'ring_rad': -2.427514168556543, 'Vout': 2.25, 'pic value': -2.25}
