{'pic value': -0.057607916539986523, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161041_967', 'Vout': 0.442}
{'pic value': -0.057622343724868158, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161041_996', 'Vout': 0.442}
{'pic value': -0.05753375396431025, 'cutoff_wavelength': 570.01339330119617, 'ts': '20170428_161042_026', 'Vout': 0.442}
{'pic value': -0.057536905292426097, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161042_055', 'Vout': 0.442}
{'pic value': -0.057437392782653432, 'cutoff_wavelength': 570.01339330119617, 'ts': '20170428_161042_085', 'Vout': 0.443}
{'pic value': -0.057429966440559477, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161042_117', 'Vout': 0.443}
{'pic value': -0.057423786966134295, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161042_151', 'Vout': 0.443}
{'pic value': -0.057418818794353468, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161042_180', 'Vout': 0.443}
{'pic value': -0.057415027144065968, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161042_217', 'Vout': 0.443}
{'pic value': -0.057412378002517833, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161042_247', 'Vout': 0.443}
{'pic value': -0.057410838110163155, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161042_282', 'Vout': 0.443}
{'pic value': -0.057410374945757257, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161042_319', 'Vout': 0.443}
{'pic value': -0.057410956711727121, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161042_351', 'Vout': 0.443}
{'pic value': -0.057412552319813979, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161042_397', 'Vout': 0.443}
{'pic value': -0.057415131376983397, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161042_424', 'Vout': 0.443}
{'pic value': -0.057418664171597772, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161042_456', 'Vout': 0.443}
{'pic value': -0.057423121659846782, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161042_486', 'Vout': 0.443}
{'pic value': -0.057428475452431245, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161042_520', 'Vout': 0.443}
{'pic value': -0.057434697801495432, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161042_553', 'Vout': 0.443}
{'pic value': -0.057441761587803904, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161042_582', 'Vout': 0.443}
{'pic value': -0.057449640308158099, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161042_618', 'Vout': 0.443}
{'pic value': -0.05745830806304851, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161042_645', 'Vout': 0.443}
{'pic value': -0.057467739544538321, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161042_677', 'Vout': 0.443}
{'pic value': -0.057477910024374086, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161042_707', 'Vout': 0.443}
{'pic value': -0.057488795342319682, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161042_737', 'Vout': 0.443}
{'pic value': -0.05739679840060697, 'cutoff_wavelength': 570.01339330119617, 'ts': '20170428_161042_766', 'Vout': 0.443}
{'pic value': -0.057396674001928993, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161042_799', 'Vout': 0.443}
{'pic value': -0.057397587548861762, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161042_828', 'Vout': 0.443}
{'pic value': -0.057399508086180301, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161042_862', 'Vout': 0.443}
{'pic value': -0.057402405351468698, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161042_892', 'Vout': 0.443}
{'pic value': -0.057406249761335217, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161042_923', 'Vout': 0.443}
{'pic value': -0.057411012397884473, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161042_956', 'Vout': 0.443}
{'pic value': -0.057313091501339813, 'cutoff_wavelength': 570.01339330119617, 'ts': '20170428_161042_986', 'Vout': 0.443}
{'pic value': -0.057307237306241265, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161043_017', 'Vout': 0.443}
{'pic value': -0.057302610739104053, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161043_049', 'Vout': 0.443}
{'pic value': -0.057299176459003363, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161043_078', 'Vout': 0.443}
{'pic value': -0.057296899906484219, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161043_105', 'Vout': 0.443}
{'pic value': -0.057295747288106873, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161043_135', 'Vout': 0.443}
{'pic value': -0.057295685561279619, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161043_164', 'Vout': 0.443}
{'pic value': -0.057296682419373461, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161043_197', 'Vout': 0.443}
{'pic value': -0.057298706277114107, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161043_227', 'Vout': 0.443}
{'pic value': -0.057301726256245876, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161043_263', 'Vout': 0.443}
{'pic value': -0.05730571217146295, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161043_292', 'Vout': 0.443}
{'pic value': -0.057207061022500783, 'cutoff_wavelength': 570.01339330119617, 'ts': '20170428_161043_329', 'Vout': 0.443}
{'pic value': -0.057200521829812605, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161043_365', 'Vout': 0.443}
{'pic value': -0.057195254331716273, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161043_401', 'Vout': 0.443}
{'pic value': -0.057191222024476664, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161043_430', 'Vout': 0.443}
{'pic value': -0.05718838921072239, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161043_463', 'Vout': 0.443}
{'pic value': -0.057186720983507203, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161043_493', 'Vout': 0.443}
{'pic value': -0.057186183210667547, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161043_526', 'Vout': 0.443}
{'pic value': -0.057186742519470923, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161043_555', 'Vout': 0.443}
{'pic value': -0.05718836628154992, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161043_582', 'Vout': 0.443}
{'pic value': -0.05719102259811689, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161043_617', 'Vout': 0.443}
{'pic value': -0.057194680285454033, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161043_647', 'Vout': 0.443}
{'pic value': -0.057199308860674147, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161043_680', 'Vout': 0.443}
{'pic value': -0.057204878527747138, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161043_710', 'Vout': 0.443}
{'pic value': -0.057211360163787493, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161043_740', 'Vout': 0.443}
{'pic value': -0.057218725305598073, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161043_772', 'Vout': 0.443}
{'pic value': -0.057226946136465694, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161043_805', 'Vout': 0.443}
{'pic value': -0.057235995473203821, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161043_836', 'Vout': 0.443}
{'pic value': -0.057245846753438114, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161043_871', 'Vout': 0.443}
{'pic value': -0.057256474023130305, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161043_901', 'Vout': 0.443}
{'pic value': -0.057267851924336234, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161043_930', 'Vout': 0.443}
{'pic value': -0.057279955683193808, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161043_957', 'Vout': 0.443}
{'pic value': -0.057189187604034374, 'cutoff_wavelength': 570.01339330119617, 'ts': '20170428_161043_986', 'Vout': 0.443}
{'pic value': -0.057190301907043266, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161044_017', 'Vout': 0.443}
{'pic value': -0.057192463427355275, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161044_045', 'Vout': 0.443}
{'pic value': -0.057195640657050698, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161044_078', 'Vout': 0.443}
{'pic value': -0.057199802795451608, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161044_108', 'Vout': 0.443}
{'pic value': -0.057204919735029301, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161044_140', 'Vout': 0.443}
{'pic value': -0.057210962047574664, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161044_165', 'Vout': 0.443}
{'pic value': -0.057217900970627102, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161044_204', 'Vout': 0.443}
{'pic value': -0.057225708394157186, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161044_234', 'Vout': 0.443}
{'pic value': -0.057234356847498488, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161044_266', 'Vout': 0.443}
{'pic value': -0.057243819486524253, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161044_295', 'Vout': 0.443}
{'pic value': -0.057254070081064354, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161044_326', 'Vout': 0.443}
{'pic value': -0.057265083002558316, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161044_355', 'Vout': 0.443}
{'pic value': -0.057276833211940159, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161044_387', 'Vout': 0.443}
{'pic value': -0.057289296247750789, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161044_418', 'Vout': 0.443}
{'pic value': -0.057302448214474021, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161044_444', 'Vout': 0.443}
{'pic value': -0.057316265771092056, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161044_477', 'Vout': 0.443}
{'pic value': -0.057330726119856484, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161044_507', 'Vout': 0.443}
{'pic value': -0.057345806995271045, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161044_539', 'Vout': 0.443}
{'pic value': -0.05725791315917976, 'cutoff_wavelength': 570.01339330119617, 'ts': '20170428_161044_569', 'Vout': 0.443}
{'pic value': -0.057261801239386796, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161044_601', 'Vout': 0.443}
{'pic value': -0.05726663842969372, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161044_634', 'Vout': 0.443}
{'pic value': -0.057168822038718196, 'cutoff_wavelength': 570.01339330119617, 'ts': '20170428_161044_667', 'Vout': 0.443}
{'pic value': -0.057163101390323628, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161044_697', 'Vout': 0.443}
{'pic value': -0.057158636520860527, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161044_730', 'Vout': 0.443}
{'pic value': -0.057155391219341802, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161044_759', 'Vout': 0.443}
{'pic value': -0.057153330075950873, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161044_798', 'Vout': 0.443}
{'pic value': -0.057152418466192845, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161044_825', 'Vout': 0.443}
{'pic value': -0.057152622535340383, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161044_855', 'Vout': 0.443}
{'pic value': -0.05715390918316883, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161044_890', 'Vout': 0.443}
{'pic value': -0.057156246048975623, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161044_917', 'Vout': 0.443}
{'pic value': -0.057159601496878702, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161044_947', 'Vout': 0.443}
{'pic value': -0.057163944601389113, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161044_976', 'Vout': 0.443}
{'pic value': -0.057169245133252812, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161045_019', 'Vout': 0.443}
{'pic value': -0.05707190005145444, 'cutoff_wavelength': 570.01339330119617, 'ts': '20170428_161045_048', 'Vout': 0.443}
{'pic value': -0.057066658338808279, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161045_081', 'Vout': 0.443}
{'pic value': -0.057062679699021256, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161045_111', 'Vout': 0.443}
{'pic value': -0.056956354102590957, 'cutoff_wavelength': 570.01339330119617, 'ts': '20170428_161045_148', 'Vout': 0.443}
{'pic value': -0.056942423684367291, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161045_174', 'Vout': 0.443}
{'pic value': -0.056930041437977606, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161045_207', 'Vout': 0.443}
{'pic value': -0.056919164253236627, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161045_236', 'Vout': 0.443}
{'pic value': -0.0569097499619391, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161045_269', 'Vout': 0.443}
{'pic value': -0.056901757319344701, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161045_305', 'Vout': 0.443}
{'pic value': -0.056895145986005674, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161045_338', 'Vout': 0.443}
{'pic value': -0.056889876509931353, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161045_369', 'Vout': 0.443}
{'pic value': -0.056885910309083278, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161045_404', 'Vout': 0.443}
{'pic value': -0.056883209654195223, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161045_437', 'Vout': 0.443}
{'pic value': -0.056881737651912248, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161045_474', 'Vout': 0.443}
